"Job Name","Post Person Jobs","Provider","Salary Min","Salary Max","Job Type"
"[勤務地＊流山市]◆交通費全額支給！【日払いOK】【軽作業】【週３日OK】☆今月ピンチ！そんなアナタもお小遣いGET☆/MaA-045","NA-228 maxalpha株式会社","マックスアルファ","￥1,140","￥1,425","パートタイム"
"大手通販サイトの物流倉庫で軽作業","大手通販サイトの流山倉庫　　《マックスアルファ株式会社》","しゅふＪＯＢ","￥1200","￥1500",""
"倉庫管理","株式会社日本デリバリーセンター","engage","","","パートタイム"
"[勤務地＊流山市]◆交通費全額支給！【日払いOK】【軽作業】【週３日OK】☆今月ピンチ！そんなアナタもお小遣いGET☆/MaA-045","NA-146 maxalpha株式会社","マックスアルファ","￥1,140","￥1,425","パートタイム"
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"庫内作業","株式会社カネコ","engage","","","パートタイム"
"大手通販サイトの物流倉庫で軽作業","大手通販サイトの流山倉庫　　《マックスアルファ株式会社》","しゅふＪＯＢ","￥1200","￥1500",""
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"構内作業オペレーター(フォークリフト等)、倉庫管理・入出荷、軽作業・物流その他","株式会社プラスワンドライブ 採用係","BeBee - 仕事","","","フルタイム"
"仕分け","新雪運輸株式会社","engage","￥1,000","￥1,250","パートタイム"
"大手通販サイトの物流倉庫で軽作業/主婦活躍中/週3日～/09:00～18:00など/30代～50代活躍中/派遣","マックスアルファ株式会社","Dジョブ","","","パートタイム"
"軽作業・倉庫内デビューＯＫ","三郷K短期-23　マックスアルファ株式会社","マックスアルファ","￥1700","","パートタイム"
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"Amazon流山物流センターでオープニングの軽作業","Amazon 流山物流センター　　《マックスアルファ株式会社》","しゅふＪＯＢ","￥1,140","￥1,425","フルタイム"
"倉庫管理","新雪運輸株式会社","engage","","","フルタイム"
"[勤務地＊流山市]◆交通費全額支給！【日払いOK】【軽作業】【週３日OK】☆今月ピンチ！そんなアナタもお小遣いGET☆/MaA-045","NA-060 maxalpha株式会社","マックスアルファ","￥1,140","￥1,425","パートタイム"
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"ドライバー・運転手、倉庫管理・入出荷、軽作業・物流その他","株式会社プラスワンドライブ 採用係","BeBee - 仕事","","","フルタイム"
"倉庫管理","株式会社我妻","engage","","","パートタイム"
"[勤務地＊流山市]◆サクっと【お小遣いGET】！＼日払いOK／＼週３日OK／＼軽作業／★2000名の大募集で～す★","KYK-NA-139 maxalpha(株)","マックスアルファ","￥1,140","￥1,425","パートタイム"
"[勤務地＊流山市]◆サクっと【お小遣いGET】！＼日払いOK／＼週３日OK／＼軽作業／★2000名の大募集で～す★","KYK-NA-130 maxalpha(株)","マックスアルファ","￥1,140","￥1,425","パートタイム"
"倉庫管理","株式会社イミディエイト","engage","","","パートタイム"
